title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,page_count,genres,source,description
Pro Git,Pro Git,Scott Chacon,4.1,10,https://covers.openlibrary.org/b/id/7892827-L.jpg,https://openlibrary.org/works/OL16310859W,426,"Computer science, Software engineering, Electronic data processing, Distributed processing, Git (Computer file)",open_library_api,"*Pro Git* is your fully-updated guide to Git and its usage in the modern world. Git has come a long way since it was first developed by Linus Torvalds for Linux kernel development. It has taken the open source world by storm since its inception in 2005, and this book teaches you how to use it like a pro.

Effective and well-implemented version control is a necessity for successful web projects, whether large or small. With this book you’ll learn how to master the world of distributed version workflow, use the distributed features of Git to the full, and extend Git to meet your every need."
Extreme programming explained,Extreme programming explained,Kent Beck,4.0,6,https://covers.openlibrary.org/b/id/5394766-L.jpg,https://openlibrary.org/works/OL1961693W,207,"Development, Extreme programming, Programmation extrême, Logiciels, Développement",open_library_api,"""Extreme Programming (XP) was conceived and developed to address the specific needs of software development conducted by small teams in the face of vague and changing requirements. This new lightweight methodology challenges many conventional tenets, including the long-held assumption that the cost of changing a piece of software necessarily rises dramatically over the course of time.

XP recognizes that projects have to work to achieve this reduction in cost and exploit the savings once they have been earned."" ""You may love XP or you may hate it, but Extreme Programming Explained will force you to take a fresh look at how you develop software.""--BOOK JACKET."
Release It!,Release It!,Michael T. Nygard,3.875,8,https://covers.openlibrary.org/b/id/743624-L.jpg,https://openlibrary.org/works/OL8848832W,352,"Application software, Development, Software architecture, Testing, Application software, development",open_library_api,
Head First design patterns,Head First design patterns,Eric Freeman,4.3846154,13,https://covers.openlibrary.org/b/id/388950-L.jpg,https://openlibrary.org/works/OL16942701W,676,"Development, Java (Computer program language), Computer software, Computer programs, design, Softwares (projeto)",open_library_api,
Agile Project Management For Dummies,Agile Project Management For Dummies,Mark C. Layton,5.0,1,https://covers.openlibrary.org/b/id/7774239-L.jpg,https://openlibrary.org/works/OL17536293W,432,"Development, Agile software development, Management, Software engineering, Computer software",open_library_api,
Test-driven development,Test-driven development,Kent Beck,4.25,8,https://covers.openlibrary.org/b/id/192577-L.jpg,https://openlibrary.org/works/OL1961692W,220,"Computer software, Development, Testing, Computer programming, Computer software, development",open_library_api,
Working effectively with legacy code,Working effectively with legacy code,Michael C. Feathers,3.5,2,https://covers.openlibrary.org/b/id/86561-L.jpg,https://openlibrary.org/works/OL5742702W,0,"Application software, Development",open_library_api,
Rapid development,Rapid development,Steve McConnell,4.0,4,https://covers.openlibrary.org/b/id/776758-L.jpg,https://openlibrary.org/works/OL2722065W,647,"Development, Computer software, Computer software, development, Computer software--development, Qa76.76.d47 m393 1996",open_library_api,
The Manager's Path,The Manager's Path,Camille Fournier,4.3333335,21,https://covers.openlibrary.org/b/id/8667291-L.jpg,https://openlibrary.org/works/OL19860807W,244,"Management, Business, Software Development, Professional employees, Personnel management",open_library_api,"Managing people is difficult wherever you work. But in the tech industry, where management is also a technical discipline, the learning curve can be brutal—especially when there are few tools, texts, and frameworks to help you. In this practical guide, author Camille Fournier (tech lead turned CTO) takes you through each stage in the journey from engineer to technical manager.

From mentoring interns to working with senior staff, you’ll get actionable advice for approaching various obstacles in your path. This book is ideal whether you’re a new manager, a mentor, or a more experienced leader looking for fresh advice. Pick up this book and learn how to become a better manager and leader in your organization.

- Begin by exploring what you expect from a manager
- Understand what it takes to be a good mentor, and a good tech lead
- Learn how to manage individual members while remaining focused on the entire team
- Understand how to manage yourself and avoid common pitfalls that challenge many leaders
- Manage multiple teams and learn how to manage managers
- Learn how to build and bootstrap a unifying culture in teams"
Lean Software Development,Lean Software Development,Mary Poppendieck,5.0,2,https://covers.openlibrary.org/b/id/5547795-L.jpg,https://openlibrary.org/works/OL9188185W,222,"Agile software development, Software engineering, Systems management, Software Development, Computers",open_library_api,
Scrum,Scrum,Jeff Sutherland,3.5714285,7,https://covers.openlibrary.org/b/id/8107216-L.jpg,https://openlibrary.org/works/OL17817696W,256,"Time management, Business planning, Project management, Strategic planning, Scrum (computer software development)",open_library_api,Introduction to agile methodology written by co-developer Jeff Sutherland.
Agile estimating and planning,Agile estimating and planning,Mike Cohn,4.5,2,https://covers.openlibrary.org/b/id/87586-L.jpg,https://openlibrary.org/works/OL2760486W,345,"Development, Computer software, Agile software development, Computer software, development",open_library_api,
"Advances in Computers, Volume 49 (Advances in Computers)","Advances in Computers, Volume 49 (Advances in Computers)",Marvin V. Zelkowitz,5.0,2,https://covers.openlibrary.org/b/id/1094406-L.jpg,https://openlibrary.org/works/OL7938163W,345,"Computers, periodicals, Electronic data processing, Informatique, Computers, Ordinateurs",open_library_api,
React and React Native,React and React Native,Adam Boduch,0.0,0,https://covers.openlibrary.org/b/id/8512119-L.jpg,https://openlibrary.org/works/OL19545984W,517,"Application software, development",open_library_api,
Essential Scrum,Essential Scrum,Kenneth S. Rubin,4.0,1,https://covers.openlibrary.org/b/id/7401605-L.jpg,https://openlibrary.org/works/OL16617654W,496,"Agile software development, Scrum (Computer software development), Project management, Scrum (computer software development), Business, computer programs",open_library_api,
The Professional Product Owner,The Professional Product Owner,Don McGreal,0.0,0,https://covers.openlibrary.org/b/id/8814896-L.jpg,https://openlibrary.org/works/OL20168650W,384,"Agile software development, Scrum (computer software development), Computer software, development",open_library_api,
Rapid application development,Rapid application development,"Martin, James",0.0,0,https://covers.openlibrary.org/b/id/4023178-L.jpg,https://openlibrary.org/works/OL3063977W,788,"Development, Computer software, Logiciels, Développement",open_library_api,
Black-box testing,Black-box testing,Boris Beizer,5.0,1,https://covers.openlibrary.org/b/id/300822-L.jpg,https://openlibrary.org/works/OL3523173W,307,"Computer software, Development, Testing, Computer software, development",open_library_api,
Show-Stopper!,Show-Stopper!,G. Pascal Zachary,4.142857,7,https://covers.openlibrary.org/b/id/19285-L.jpg,https://openlibrary.org/works/OL106726W,325,"Microsoft Corporation, Microsoft Windows NT, Development, Computer software, Operating systems (Computers)",open_library_api,"Including numerous interviews with the people that made Microsoft's modern-day operating system possible, G. Pascal Zachary weaves an intricate tale about the personalities, businesses, and relationships in Show-stopper!, a fascinating historical account about the making of Windows NT."
The effective engineer,The effective engineer,Edmond Lau,3.3333333,6,https://covers.openlibrary.org/b/id/9173899-L.jpg,https://openlibrary.org/works/OL20006564W,245,"Computer programmers, Development, Vocational guidance, Software engineering, Computer software",open_library_api,"Introducing The Effective Engineer--the only book designed specifically for today's software engineers, based on extensive interviews with engineering leaders at top tech companies, and packed with hundreds of techniques to accelerate your career."
Software Requirements,Software Requirements,Karl Eugene Wiegers,0.0,0,https://covers.openlibrary.org/b/id/461026-L.jpg,https://openlibrary.org/works/OL8021845W,350,"Development, Computer software",open_library_api,
Introduction to software engineering,Introduction to software engineering,Ronald J. Leach,0.0,0,https://covers.openlibrary.org/b/id/1595411-L.jpg,https://openlibrary.org/works/OL493186W,402,"Software engineering, Génie logiciel, COMPUTERS, Software Development & Engineering, General",open_library_api,"""Introduction to Software Engineering presents the basics of software engineering in a concise and direct format. With emphasis on Internet technology, software tools for programming, and hands-on learning, this book effectively prepares readers to move from an educational situation towards applying their knowledge to the complex projects faced in the professional arena.""--BOOK JACKET."
Agile software development,Agile software development,Alistair Cockburn,3.5,2,https://covers.openlibrary.org/b/id/135792-L.jpg,https://openlibrary.org/works/OL2706112W,373,"Development, Computer software, Software Engineering, ENGENHARIA DE PROGRAMAÇÃO, Softwareentwicklung",open_library_api,Alastair Cockburn offers advice on bringing difficult software development projects to a successful conclusion with a minimum of stress. The volume is based on over 10 years of interviewing software project teams.
Engineering Software Products,Engineering Software Products,Ian Sommerville,0.0,0,https://covers.openlibrary.org/b/id/10171296-L.jpg,https://openlibrary.org/works/OL20857243W,432,"Software engineering, Computer software, development",open_library_api,
Soft Skills,Soft Skills,John Z. Sonmez,4.0,3,https://covers.openlibrary.org/b/id/7443191-L.jpg,https://openlibrary.org/works/OL17365043W,470,"Development, Vocational guidance, Business communication, Employee empowerment, Interpersonal communication",open_library_api,"This guide offers advice to technology professionals and developers on subjects of career and productivity, personal finance and investing, and fitness and relationships. It will help you become a better programmer, a more valuable employee, and a happier, healthier person."
Kanban,Kanban,David J Anderson,3.6666667,3,https://covers.openlibrary.org/b/id/7273224-L.jpg,https://openlibrary.org/works/OL16813548W,261,"Development, Agile software development, Management, Computer software, Just-in-time systems",open_library_api,"""Kanban is becoming a popular way to visualize and limit work-in-progress in software development and information technology work. Teams around the world are adding Kanban around their existing processes to catalyze cultural change and deliver better business agility. David J. Anderson pioneered the Kanban Method. Hear how this happened and what you can do to succeed using Kanban.""--Publisher's website."
Front-End Developer,Front-End Developer,Dominic Myers,5.0,1,https://covers.openlibrary.org/b/id/12884620-L.jpg,https://openlibrary.org/works/OL21638091W,232,"Software Development, Programming, Software Architecture, Front-end Development",open_library_api,"Even amazing products can be let down by poor user interfaces. It is the job of front-end developers to make the user-interface (front-end) of software products and websites usable, engaging and attractive. This book covers the role of front-end developer in terms of typical responsibilities, required skills and relevant tools, methods and techniques. Career progression for front-end developers is also discussed, with real life practical examples and code snippets used throughout the book to illustrate the topics."
Android application development all-in-one for dummies,Android application development all-in-one for dummies,Barry Burd,0.0,0,https://covers.openlibrary.org/b/id/12525402-L.jpg,https://openlibrary.org/works/OL20011293W,760,"Development, Smartphones, Design, Application software, Mobile computing",open_library_api,"Android is everywhere, and Burd shows you how to get your piece of the action. This all-in-one guide to creating great apps for this booming market takes you from groundwork through the essentials common to every app, to actually marketing your apps and learning advanced techniques involving C and C++."
Software Testing,Software Testing,Brian Hambling,5.0,1,https://covers.openlibrary.org/b/id/9472671-L.jpg,https://openlibrary.org/works/OL16944106W,276,"Computer software, Computer software, testing, Study guides, Testing, Examinations",open_library_api,Annotation
How to Build a Billion Dollar App,How to Build a Billion Dollar App,George Berkowski,5.0,1,https://covers.openlibrary.org/b/id/8407360-L.jpg,https://openlibrary.org/works/OL19090197W,480,"Development, Application software, Internet software industry, Entrepreneurship, Computer software industry",open_library_api,
Kotlin Programming,Kotlin Programming,Matthew Mathias,4.0,1,https://covers.openlibrary.org/b/id/12404606-L.jpg,https://openlibrary.org/works/OL22541716W,511,"Android (electronic resource), Application software, development",open_library_api,
The passionate programmer,The passionate programmer,Chad Fowler,3.5714285,7,https://covers.openlibrary.org/b/id/7399133-L.jpg,https://openlibrary.org/works/OL16135310W,198,"Development, Computer software, Vocational guidance, Career development, Management",open_library_api,Remarkable careers don't come by chance. You can't afford to sit back and let your job decide your future - it's time to take control.
Building Evolutionary Architectures: Support Constant Change,Building Evolutionary Architectures: Support Constant Change,Neal Ford,4.0,2,https://covers.openlibrary.org/b/id/8507690-L.jpg,https://openlibrary.org/works/OL19541931W,190,"Computer software, development",open_library_api,
Dreaming in code,Dreaming in code,Scott Rosenberg,3.5,6,https://covers.openlibrary.org/b/id/747155-L.jpg,https://openlibrary.org/works/OL6029117W,416,"Computer Technology, Nonfiction, Business, Computer programming, Computer software",open_library_api,"Their story takes us through a maze of dead ends and exhilarating breakthroughs as they and their colleagues wrestle not only with the abstraction of code but with the unpredictability of human behavior, especially their own. Along the way, we encounter black holes, turtles, snakes, dragons, axe-sharpening, and yak-shaving--and take a guided tour through the theories and methods, both brilliant and misguided, that litter the history of software development, from the famous ""mythical man-month"" to Extreme Programming.  Not just for technophiles but for anyone captivated by the drama of invention, Dreaming in Code offers a window into both the information age and the workings of the human mind.From the Hardcover edition."
Succeeding with agile,Succeeding with agile,Mike Cohn,0.0,0,https://covers.openlibrary.org/b/id/6307835-L.jpg,https://openlibrary.org/works/OL15326685W,475,"Agile software development, Scrum (Computer software development), Computer software, development, Scrum (computer software development)",open_library_api,
Android Programming,Android Programming,Bill Phillips,5.0,1,https://covers.openlibrary.org/b/id/7370198-L.jpg,https://openlibrary.org/works/OL17202810W,624,"Development, Application software, Android (Electronic resource), Android (electronic resource), Application software, development",open_library_api,"These are the droids you're looking for. With our Android programming guide, based on our Android Fundamentals development bootcamp, you can hit the ground running on Android app development. This guide leads you through the wilderness using hands-on example apps, combined with clear explanations of key concepts and APIs. You will need Java expertise before you begin reading. Our top-notch Android instructors have put together a guide that focuses on practical techniques for developing apps compatible with Android 4.1 (Jelly Bean) through Android 5.1 (Lollipop) and beyond, including coverage of material design. Write and run code every step of the way, using Android Studio to create apps that integrate with other apps, download and display pictures from the web, play sounds, and more. Each chapter and app has been designed and tested to provide the knowledge and experience you need to get started in Android development. - Publisher."
Software engineering,Software engineering,Ian Sommerville,3.75,4,https://covers.openlibrary.org/b/id/3973371-L.jpg,https://openlibrary.org/works/OL2960016W,742,"Software Engineering, Computer programs, Softwareentwicklung, Programmatuurtechniek, 0 Gesamtdarstellung",open_library_api,"One of the earliest student textbooks on the (then) emerging field of software engineering. It presents a view of software engineering as practised in the early 1980s, and is oriented around the notion of the software life cycle - requirements, design, implementation, testing and evolution. Rapidly superceded by later editions because the discipline was changing so quickly at that time."
"Growing object-oriented software, guided by tests","Growing object-oriented software, guided by tests",Steve Freeman,4.25,4,https://covers.openlibrary.org/b/id/9937887-L.jpg,https://openlibrary.org/works/OL16955281W,358,"Testing, Object-oriented programming (Computer science), Computer software, Application software, development",open_library_api,
Learn Android Studio,Learn Android Studio,Adam Gerber,1.0,1,https://covers.openlibrary.org/b/id/9372570-L.jpg,https://openlibrary.org/works/OL20696892W,485,"Development, Application software, Android (Electronic resource), Application software, development, Android (electronic resource)",open_library_api,
Software metrics,Software metrics,Norman E. Fenton,0.0,0,https://covers.openlibrary.org/b/id/4866680-L.jpg,https://openlibrary.org/works/OL2834101W,618,"Evaluation, Computer software, Software measurement, Software engineering, General",open_library_api,
The DevOps handbook,The DevOps handbook,Gene Kim,3.25,8,https://covers.openlibrary.org/b/id/10860557-L.jpg,https://openlibrary.org/works/OL19730495W,460,"Development, Industrial management, Corporate culture, Management, Agile software development",open_library_api,"""Increase profitability, elevate work culture, and exceed productivity goals through DevOps practices. More than ever, the effective management of technology is critical for business competitiveness. For decades, technology leaders have struggled to balance agility, reliability, and security. The consequences of failure have never been greater--whether it's the healthcare.gov debacle, cardholder data breaches, or missing the boat with Big Data in the cloud. And yet, high performers using DevOps principles, such as Google, Amazon, Facebook, Etsy, and Netflix, are routinely and reliably deploying code into production hundreds, or even thousands, of times per day. Following in the footsteps of The Phoenix Project, The DevOps Handbook shows leaders how to replicate these incredible outcomes, by showing how to integrate Product Management, Development, QA, IT Operations, and Information Security to elevate your company and win in the marketplace""--"
Kubernetes: Up and Running: Dive into the Future of Infrastructure,Kubernetes: Up and Running: Dive into the Future of Infrastructure,Kelsey Hightower,3.8,5,https://covers.openlibrary.org/b/id/8509547-L.jpg,https://openlibrary.org/works/OL19543296W,202,"Development, Installation, Application software, Software maintenance, Open source software",open_library_api,
Software Engineering at Google,Software Engineering at Google,Titus Winters,4.0,3,https://covers.openlibrary.org/b/id/10450993-L.jpg,https://openlibrary.org/works/OL22293580W,573,"System design, Computer software, development, management, Computer architecture",open_library_api,
Agile testing,Agile testing,Lisa Crispin,4.0,1,https://covers.openlibrary.org/b/id/5746615-L.jpg,https://openlibrary.org/works/OL9211695W,555,"Agile software development, Computer software, Testing, Computer software, development, Computer software--testing",open_library_api,
Producing Open Source Software,Producing Open Source Software,Karl Fogel,0.0,0,https://covers.openlibrary.org/b/id/388989-L.jpg,https://openlibrary.org/works/OL8167441W,291,"Computer software, Development, Open source software, Computer software, development",open_library_api,
Advances in Computers,Advances in Computers,Atif Memon,0.0,0,https://covers.openlibrary.org/b/id/10215696-L.jpg,https://openlibrary.org/works/OL20887301W,282,"Graphical user interfaces (computer systems), System analysis, Electronic data processing, Computers, Mathematics",open_library_api,
Patterns of Enterprise Application Architecture,Patterns of Enterprise Application Architecture,Martin Fowler,4.285714,7,https://covers.openlibrary.org/b/id/192501-L.jpg,https://openlibrary.org/works/OL463952W,533,"Application software, Business, Computer architecture, Data processing, Development",open_library_api,
Secure software design,Secure software design,Theodor Richardson,5.0,1,https://covers.openlibrary.org/b/id/13496024-L.jpg,https://openlibrary.org/works/OL16190903W,412,"Development, Computer security, Computer software, Computer software, development",open_library_api,
Practices for scaling lean & agile development,Practices for scaling lean & agile development,Craig Larman,1.0,1,https://covers.openlibrary.org/b/id/7975261-L.jpg,https://openlibrary.org/works/OL15026094W,624,"Agile software development, Scrum (Computer software development)",open_library_api,
Software Craftsmanship,Software Craftsmanship,Pete McBreen,0.0,0,https://covers.openlibrary.org/b/id/136075-L.jpg,https://openlibrary.org/works/OL8021839W,198,"Development, Computer software, Computer software, development",open_library_api,
GitHub for Dummies,GitHub for Dummies,Sarah Guthals,0.0,0,https://covers.openlibrary.org/b/id/9171110-L.jpg,https://openlibrary.org/works/OL20520775W,368,"GitHub, Software development, Git, Computer software, development, Open source software",open_library_api,"Once you've learned the basics of coding the next step is to start sharing your expertise, learning from other coding pros, or working as a collaborative member of development teams. GitHub is the go-to community for facilitating coding collaboration, and *GitHub for Dummies* is the next step on your journey as a developer. Written by a GitHub engineer, this book is packed with insight on how GitHub works and how you can use it to become a more effective, efficient, and valuable member of any collaborative programming team."
The art of agile development,The art of agile development,James Shore,4.0,3,https://covers.openlibrary.org/b/id/6307771-L.jpg,https://openlibrary.org/works/OL8167691W,409,"Agile software development, Computer software, development, Computer software, Development, General",open_library_api,
Kubernetes in Action,Kubernetes in Action,Marko Luksa,4.0,2,https://covers.openlibrary.org/b/id/8509009-L.jpg,https://openlibrary.org/works/OL19542950W,624,"Application software, development, Electronic data processing, distributed processing",open_library_api,
Free Pascal,Free Pascal,Michaël van Canneyt,5.0,1,https://covers.openlibrary.org/b/id/7248465-L.jpg,https://openlibrary.org/works/OL16799438W,762,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development",open_library_api,
Threat modeling,Threat modeling,Adam Shostack,0.0,0,https://covers.openlibrary.org/b/id/10643659-L.jpg,https://openlibrary.org/works/OL19978521W,624,"Development, Computer networks, Security measures, Computer security, Computer software",open_library_api,"""Adam Shostack is responsible for security development lifecycle threat modeling at Microsoft and is one of a handful of threat modeling experts in the world. Now, he is sharing his considerable expertise into this unique book. With pages of specific actionable advice, he details how to build better security into the design of systems, software, or services from the outset. You'll explore various threat modeling approaches, find out how to test your designs against threats, and learn effective ways to address threats that have been validated at Microsoft and other top companies.""--"
Software Estimation,Software Estimation,Steve McConnell,2.0,1,https://covers.openlibrary.org/b/id/460978-L.jpg,https://openlibrary.org/works/OL2722066W,330,"Computer software, Development, Estimates, Software engineering, Computer software--development--estimates",open_library_api,
Lazarus - the complete guide,Lazarus - the complete guide,Michaël van Canneyt,3.0,3,https://covers.openlibrary.org/b/id/7258332-L.jpg,https://openlibrary.org/works/OL16804740W,736,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development",open_library_api,
The Software Craftsman,The Software Craftsman,Sandro Mancuso,0.0,0,https://covers.openlibrary.org/b/id/8981417-L.jpg,https://openlibrary.org/works/OL20319920W,288,"Computer software, development, Computer software, Development, Software architecture, Quality of products",open_library_api,
Implementing lean software development,Implementing lean software development,Mary Poppendieck,5.0,1,https://covers.openlibrary.org/b/id/11951086-L.jpg,https://openlibrary.org/works/OL9188183W,304,"Development, Production management, Computer software, Computer software, development",open_library_api,
Agile Project Management with Scrum (Microsoft Professional),Agile Project Management with Scrum (Microsoft Professional),Ken Schwaber,3.0,1,https://covers.openlibrary.org/b/id/461518-L.jpg,https://openlibrary.org/works/OL7947520W,350,"Computer Technology, Nonfiction, Development, Scrum (Computer software development), Project management",open_library_api,"Apply the principles of Scrum to software project management with guidance from one of the leaders in the agile process movement. Case studies and project examples demonstrate Scrum concepts in practice and emphasize driving projects for maximum ROI. The rules and practices for Scrum—a simple process for managing complex projects—are few, straightforward, and easy to learn. But Scrum's simplicity itself—its lack of prescription—can be disarming, and new practitioners often find themselves reverting to old project management habits and tools and yielding lesser results. In this illuminating series of case studies, Scrum co-creator and evangelist Ken Schwaber identifies the real-world lessons—the successes and failures—culled from his years of experience coaching companies in agile project management. Through them, you'll understand how to use Scrum to solve complex problems and drive better results—delivering more valuable software faster.Gain the foundation in Scrum theory—and practice—you need to:Rein in even the most complex, unwieldy projects Effectively manage unknown or changing product requirements Simplify the chain of command with self-managing development teams Receive clearer specifications—and feedback—from customers Greatly reduce project planning time and required tools Build—and release—products in 30-day cycles so clients get deliverables earlierAvoid missteps by regularly inspecting, reporting on, and fine-tuning projects Support multiple teams working on a large-scale project from many geographic locations Maximize return on investment!"
xUnit Test Patterns,xUnit Test Patterns,Gerard Meszaros,4.5,2,https://covers.openlibrary.org/b/id/87720-L.jpg,https://openlibrary.org/works/OL7951794W,944,"Computer Technology, Nonfiction, Testing, Software patterns, Computer software",open_library_api,"Automated testing is a cornerstone of agile development. An effective testing strategy will deliver new functionality more aggressively, accelerate user feedback, and improve quality. However, for many developers, creating effective automated tests is"
Being Geek,Being Geek,Michael Lopp,2.3333333,3,https://covers.openlibrary.org/b/id/6973617-L.jpg,https://openlibrary.org/works/OL16304945W,336,"Development, Computer industry, Computer software, Computer science, Vocational guidance",open_library_api,
The Bug,The Bug,Ellen Ullman,3.3333333,3,https://covers.openlibrary.org/b/id/242493-L.jpg,https://openlibrary.org/works/OL2693718W,362,"Fiction, Computer programmers, Computer industry, Computer software developers",open_library_api,"In 1984, Roberta Watson, a quality assurance tester with a computer start-up company, and Ethan Levin, a computer programmer, try to find the bug which is infecting their company's new software before it ruins the company and their lives."
Applied software architecture,Applied software architecture,Christine Hofmeister,0.0,0,https://covers.openlibrary.org/b/id/134384-L.jpg,https://openlibrary.org/works/OL19827381W,397,"Development, Software architecture, Computerarchitectuur, Programmatuurtechniek, Application software",open_library_api,
Usability engineering,Usability engineering,Jakob Nielsen,5.0,2,https://covers.openlibrary.org/b/id/80225-L.jpg,https://openlibrary.org/works/OL3522752W,358,"Development, User interfaces (Computer systems), Computer software, Computer software, development",open_library_api,
Mercurial,Mercurial,Bryan O'Sullivan,3.3333333,3,https://covers.openlibrary.org/b/id/7258074-L.jpg,https://openlibrary.org/works/OL15441983W,259,"Development, Software configuration management, Computer software, Computer software, development",open_library_api,
Learn to Program using Lazarus,Learn to Program using Lazarus,Howard Page-Clark,5.0,1,https://covers.openlibrary.org/b/id/7248467-L.jpg,https://openlibrary.org/works/OL16799439W,255,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development",open_library_api,
