title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,page_count,genres,description,source,combined_text,cluster
Java how to program--early objects,Java how to program--early objects,Paul J. Deitel,5.0,1,https://covers.openlibrary.org/b/id/15111749-L.jpg,https://openlibrary.org/works/OL19543270W,1250,"Java (computer program language), Computer programming, Object-oriented programming (computer science), Object-oriented programming (Computer science)",No description available.,open_library_api,"Java (computer program language), Computer programming, Object-oriented programming (computer science), Object-oriented programming (Computer science) Java (computer program language), Computer programming, Object-oriented programming (computer science), Object-oriented programming (Computer science) No description available.",6
Beginning programming for dummies,Beginning programming for dummies,Wallace Wang,5.0,1,https://covers.openlibrary.org/b/id/520470-L.jpg,https://openlibrary.org/works/OL58316W,408,"Computer programming, QBasic (Computer program language), Computer Technology, Nonfiction, Computer programs","Discover the latest programming tips and techniquesStart writing programs for Windows, Linux, Macintosh, Palms, and PocketPCsReady to take control of your computer by writing your own programs? Mixing concepts with humor, author Wallace Wang shows you how to begin programming as simply and quickly as possible. In no time, you'll find out how to create and debug programs in Liberty BASIC, use algorithms, build interactive Web pages, and more!All this on the bonus CD-ROM Liberty BASIC and other compilers All the examples and code from the book IBM Robocode V1.0.6 JBuilder 9 Personal, C# Builder Personal, and Kylix Enterprise TrialSee the ""About the CD-ROM"" appendix for details and complete system requirements.Discover how to: Choose the best programming language for your project Work with data structures Install and use Liberty BASIC Create interactive Web sites  Program multiple platform devicesNote: CD-ROM/DVD and other supplementary materials are not included.",open_library_api,"Computer programming, QBasic (Computer program language), Computer Technology, Nonfiction, Computer programs Computer programming, QBasic (Computer program language), Computer Technology, Nonfiction, Computer programs Discover the latest programming tips and techniquesStart writing programs for Windows, Linux, Macintosh, Palms, and PocketPCsReady to take control of your computer by writing your own programs? Mixing concepts with humor, author Wallace Wang shows you how to begin programming as simply and quickly as possible. In no time, you'll find out how to create and debug programs in Liberty BASIC, use algorithms, build interactive Web pages, and more!All this on the bonus CD-ROM Liberty BASIC and other compilers All the examples and code from the book IBM Robocode V1.0.6 JBuilder 9 Personal, C# Builder Personal, and Kylix Enterprise TrialSee the ""About the CD-ROM"" appendix for details and complete system requirements.Discover how to: Choose the best programming language for your project Work with data structures Install and use Liberty BASIC Create interactive Web sites  Program multiple platform devicesNote: CD-ROM/DVD and other supplementary materials are not included.",8
 Fundamentals of Data Structures in C++ 2nd Edition, Fundamentals of Data Structures in C++ 2nd Edition,Ellis Horowitz,5.0,3,https://covers.openlibrary.org/b/id/1672674-L.jpg,https://openlibrary.org/works/OL17362575W,694,"C++ (Computer program language), Data structures (Computer science), Programming Languages - General, Computer Books: Languages, Computers",No description available.,open_library_api,"C++ (Computer program language), Data structures (Computer science), Programming Languages - General, Computer Books: Languages, Computers C++ (Computer program language), Data structures (Computer science), Programming Languages - General, Computer Books: Languages, Computers No description available.",5
Fluent Python,Fluent Python,Luciano Ramalho,5.0,5,https://covers.openlibrary.org/b/id/8743408-L.jpg,https://openlibrary.org/works/OL19932156W,821,"Python (Computer program language), Computer programming, Object-oriented programming languages, Object-oriented programming (computer science), Python (computer program language)",No description available.,open_library_api,"Python (Computer program language), Computer programming, Object-oriented programming languages, Object-oriented programming (computer science), Python (computer program language) Python (Computer program language), Computer programming, Object-oriented programming languages, Object-oriented programming (computer science), Python (computer program language) No description available.",5
C programming,C programming,K. N. King,5.0,5,https://covers.openlibrary.org/b/id/252635-L.jpg,https://openlibrary.org/works/OL3233592W,832,"C (Computer program language), Computer programming",No description available.,open_library_api,"C (Computer program language), Computer programming C (Computer program language), Computer programming No description available.",5
Learn to Program using Lazarus,Learn to Program using Lazarus,Howard Page-Clark,5.0,1,https://covers.openlibrary.org/b/id/7248467-L.jpg,https://openlibrary.org/works/OL16799439W,255,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development",No description available.,open_library_api,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development No description available.",8
Usability engineering,Usability engineering,Jakob Nielsen,5.0,2,https://covers.openlibrary.org/b/id/80225-L.jpg,https://openlibrary.org/works/OL3522752W,358,"Development, User interfaces (Computer systems), Computer software, Computer software, development",No description available.,open_library_api,"Development, User interfaces (Computer systems), Computer software, Computer software, development Development, User interfaces (Computer systems), Computer software, Computer software, development No description available.",0
Implementing lean software development,Implementing lean software development,Mary Poppendieck,5.0,1,https://covers.openlibrary.org/b/id/11951086-L.jpg,https://openlibrary.org/works/OL9188183W,304,"Development, Production management, Computer software, Computer software, development",No description available.,open_library_api,"Development, Production management, Computer software, Computer software, development Development, Production management, Computer software, Computer software, development No description available.",0
Free Pascal,Free Pascal,Michaël van Canneyt,5.0,1,https://covers.openlibrary.org/b/id/7248465-L.jpg,https://openlibrary.org/works/OL16799438W,762,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development",No description available.,open_library_api,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development No description available.",5
Secure software design,Secure software design,Theodor Richardson,5.0,1,https://covers.openlibrary.org/b/id/13496024-L.jpg,https://openlibrary.org/works/OL16190903W,412,"Development, Computer security, Computer software, Computer software, development",No description available.,open_library_api,"Development, Computer security, Computer software, Computer software, development Development, Computer security, Computer software, Computer software, development No description available.",0
Android Programming,Android Programming,Bill Phillips,5.0,1,https://covers.openlibrary.org/b/id/7370198-L.jpg,https://openlibrary.org/works/OL17202810W,624,"Development, Application software, Android (Electronic resource), Android (electronic resource), Application software, development","These are the droids you're looking for. With our Android programming guide, based on our Android Fundamentals development bootcamp, you can hit the ground running on Android app development. This guide leads you through the wilderness using hands-on example apps, combined with clear explanations of key concepts and APIs. You will need Java expertise before you begin reading. Our top-notch Android instructors have put together a guide that focuses on practical techniques for developing apps compatible with Android 4.1 (Jelly Bean) through Android 5.1 (Lollipop) and beyond, including coverage of material design. Write and run code every step of the way, using Android Studio to create apps that integrate with other apps, download and display pictures from the web, play sounds, and more. Each chapter and app has been designed and tested to provide the knowledge and experience you need to get started in Android development. - Publisher.",open_library_api,"Development, Application software, Android (Electronic resource), Android (electronic resource), Application software, development Development, Application software, Android (Electronic resource), Android (electronic resource), Application software, development These are the droids you're looking for. With our Android programming guide, based on our Android Fundamentals development bootcamp, you can hit the ground running on Android app development. This guide leads you through the wilderness using hands-on example apps, combined with clear explanations of key concepts and APIs. You will need Java expertise before you begin reading. Our top-notch Android instructors have put together a guide that focuses on practical techniques for developing apps compatible with Android 4.1 (Jelly Bean) through Android 5.1 (Lollipop) and beyond, including coverage of material design. Write and run code every step of the way, using Android Studio to create apps that integrate with other apps, download and display pictures from the web, play sounds, and more. Each chapter and app has been designed and tested to provide the knowledge and experience you need to get started in Android development. - Publisher.",5
How to Build a Billion Dollar App,How to Build a Billion Dollar App,George Berkowski,5.0,1,https://covers.openlibrary.org/b/id/8407360-L.jpg,https://openlibrary.org/works/OL19090197W,480,"Development, Application software, Internet software industry, Entrepreneurship, Computer software industry",No description available.,open_library_api,"Development, Application software, Internet software industry, Entrepreneurship, Computer software industry Development, Application software, Internet software industry, Entrepreneurship, Computer software industry No description available.",0
Software Testing,Software Testing,Brian Hambling,5.0,1,https://covers.openlibrary.org/b/id/9472671-L.jpg,https://openlibrary.org/works/OL16944106W,276,"Computer software, Computer software, testing, Study guides, Testing, Examinations",Annotation,open_library_api,"Computer software, Computer software, testing, Study guides, Testing, Examinations Computer software, Computer software, testing, Study guides, Testing, Examinations Annotation",8
Front-End Developer,Front-End Developer,Dominic Myers,5.0,1,https://covers.openlibrary.org/b/id/12884620-L.jpg,https://openlibrary.org/works/OL21638091W,232,"Software Development, Programming, Software Architecture, Front-end Development","Even amazing products can be let down by poor user interfaces. It is the job of front-end developers to make the user-interface (front-end) of software products and websites usable, engaging and attractive. This book covers the role of front-end developer in terms of typical responsibilities, required skills and relevant tools, methods and techniques. Career progression for front-end developers is also discussed, with real life practical examples and code snippets used throughout the book to illustrate the topics.",open_library_api,"Software Development, Programming, Software Architecture, Front-end Development Software Development, Programming, Software Architecture, Front-end Development Even amazing products can be let down by poor user interfaces. It is the job of front-end developers to make the user-interface (front-end) of software products and websites usable, engaging and attractive. This book covers the role of front-end developer in terms of typical responsibilities, required skills and relevant tools, methods and techniques. Career progression for front-end developers is also discussed, with real life practical examples and code snippets used throughout the book to illustrate the topics.",8
Black-box testing,Black-box testing,Boris Beizer,5.0,1,https://covers.openlibrary.org/b/id/300822-L.jpg,https://openlibrary.org/works/OL3523173W,307,"Computer software, Development, Testing, Computer software, development",No description available.,open_library_api,"Computer software, Development, Testing, Computer software, development Computer software, Development, Testing, Computer software, development No description available.",0
Lean Software Development,Lean Software Development,Mary Poppendieck,5.0,2,https://covers.openlibrary.org/b/id/5547795-L.jpg,https://openlibrary.org/works/OL9188185W,222,"Agile software development, Software engineering, Systems management, Software Development, Computers",No description available.,open_library_api,"Agile software development, Software engineering, Systems management, Software Development, Computers Agile software development, Software engineering, Systems management, Software Development, Computers No description available.",0
Agile Project Management For Dummies,Agile Project Management For Dummies,Mark C. Layton,5.0,1,https://covers.openlibrary.org/b/id/7774239-L.jpg,https://openlibrary.org/works/OL17536293W,432,"Development, Agile software development, Management, Software engineering, Computer software",No description available.,open_library_api,"Development, Agile software development, Management, Software engineering, Computer software Development, Agile software development, Management, Software engineering, Computer software No description available.",0
Object-Oriented Software Engineering,Object-Oriented Software Engineering,Ivar Jacobson,5.0,3,https://covers.openlibrary.org/b/id/135140-L.jpg,https://openlibrary.org/works/OL1953422W,524,"Development, Computer software, Object-oriented programming (Computer science), Software engineering",No description available.,open_library_api,"Development, Computer software, Object-oriented programming (Computer science), Software engineering Development, Computer software, Object-oriented programming (Computer science), Software engineering No description available.",0
Designing Data-Intensive Applications,Designing Data-Intensive Applications,Martin Kleppmann,5.0,3,https://covers.openlibrary.org/b/id/8434671-L.jpg,https://openlibrary.org/works/OL19293745W,618,"Development, Web site development, Application software, Database management, Databases","Data is at the center of many challenges in system design today. Difficult issues need to be figured out, such as scalability, consistency, reliability, efficiency, and maintainability. In addition, we have an overwhelming variety of tools, including relational databases, NoSQL datastores, stream or batch processors, and message brokers. What are the right choices for your application? How do you make sense of all these buzzwords?

In this practical and comprehensive guide, author Martin Kleppmann helps you navigate this diverse landscape by examining the pros and cons of various technologies for processing and storing data. Software keeps changing, but the fundamental principles remain the same. With this book, software engineers and architects will learn how to apply those ideas in practice, and how to make full use of data in modern applications.

Peer under the hood of the systems you already use, and learn how to use and operate them more effectively. Make informed decisions by identifying the strengths and weaknesses of different tools. Navigate the trade-offs around consistency, scalability, fault tolerance, and complexity. Understand the distributed systems research upon which modern databases are built. Peek behind the scenes of major online services, and learn from their architectures",open_library_api,"Development, Web site development, Application software, Database management, Databases Development, Web site development, Application software, Database management, Databases Data is at the center of many challenges in system design today. Difficult issues need to be figured out, such as scalability, consistency, reliability, efficiency, and maintainability. In addition, we have an overwhelming variety of tools, including relational databases, NoSQL datastores, stream or batch processors, and message brokers. What are the right choices for your application? How do you make sense of all these buzzwords?

In this practical and comprehensive guide, author Martin Kleppmann helps you navigate this diverse landscape by examining the pros and cons of various technologies for processing and storing data. Software keeps changing, but the fundamental principles remain the same. With this book, software engineers and architects will learn how to apply those ideas in practice, and how to make full use of data in modern applications.

Peer under the hood of the systems you already use, and learn how to use and operate them more effectively. Make informed decisions by identifying the strengths and weaknesses of different tools. Navigate the trade-offs around consistency, scalability, fault tolerance, and complexity. Understand the distributed systems research upon which modern databases are built. Peek behind the scenes of major online services, and learn from their architectures",5
Coding with JavaScript for dummies,Coding with JavaScript for dummies,Chris Minnick,5.0,1,https://covers.openlibrary.org/b/id/12961542-L.jpg,https://openlibrary.org/works/OL20001310W,368,"JavaScript (Computer program language), Javascript (computer program language)",No description available.,open_library_api,"JavaScript (Computer program language), Javascript (computer program language) JavaScript (Computer program language), Javascript (computer program language) No description available.",1
Computer Science With C++ Class,Computer Science With C++ Class,Sumita Arora,5.0,2,https://covers.openlibrary.org/b/id/10865309-L.jpg,https://openlibrary.org/works/OL24341765W,437,"Computer, Program, C++ (Program computer)",No description available.,open_library_api,"Computer, Program, C++ (Program computer) Computer, Program, C++ (Program computer) No description available.",1
Learn Python The Hard Way A Very Simple Introduction To The Terrifyingly Beautiful World Of Computers And Code,Learn Python The Hard Way A Very Simple Introduction To The Terrifyingly Beautiful World Of Computers And Code,Zed Shaw,5.0,1,https://covers.openlibrary.org/b/id/7514688-L.jpg,https://openlibrary.org/works/OL17405916W,320,"Python (Computer program language), Problems, exercises, Computer programming",No description available.,open_library_api,"Python (Computer program language), Problems, exercises, Computer programming Python (Computer program language), Problems, exercises, Computer programming No description available.",1
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,5.0,1,https://covers.openlibrary.org/b/id/8509535-L.jpg,https://openlibrary.org/works/OL19543288W,574,"Artificial intelligence, Machine learning, Python (Computer program language), Apprentissage automatique, Python (Langage de programmation)","xx, 543 pages : 24 cm",open_library_api,"Artificial intelligence, Machine learning, Python (Computer program language), Apprentissage automatique, Python (Langage de programmation) Artificial intelligence, Machine learning, Python (Computer program language), Apprentissage automatique, Python (Langage de programmation) xx, 543 pages : 24 cm",5
Game Programming With Python (Game Development Series),Game Programming With Python (Game Development Series),Sean Riley,5.0,1,https://covers.openlibrary.org/b/id/848279-L.jpg,https://openlibrary.org/works/OL8947739W,488,"Computer games, Programming, Python (Computer program language)",No description available.,open_library_api,"Computer games, Programming, Python (Computer program language) Computer games, Programming, Python (Computer program language) No description available.",1
Foundations of Python network programming,Foundations of Python network programming,John Goerzen,5.0,1,https://covers.openlibrary.org/b/id/861348-L.jpg,https://openlibrary.org/works/OL512984W,388,"Python (Computer program language), Scripting languages (Computer science)",No description available.,open_library_api,"Python (Computer program language), Scripting languages (Computer science) Python (Computer program language), Scripting languages (Computer science) No description available.",1
Python Programming Patterns,Python Programming Patterns,Thomas W. Christopher,5.0,1,https://covers.openlibrary.org/b/id/82943-L.jpg,https://openlibrary.org/works/OL7945591W,400,"Python (computer program language), Python (Computer program language)",No description available.,open_library_api,"Python (computer program language), Python (Computer program language) Python (computer program language), Python (Computer program language) No description available.",1
Big Java,Big Java,Cay S. Horstmann,5.0,1,https://covers.openlibrary.org/b/id/1239523-L.jpg,https://openlibrary.org/works/OL449055W,1232,"Java (Computer program language), Java (Langage de programmation), Java (programmeertaal), Java (computer program language)",No description available.,open_library_api,"Java (Computer program language), Java (Langage de programmation), Java (programmeertaal), Java (computer program language) Java (Computer program language), Java (Langage de programmation), Java (programmeertaal), Java (computer program language) No description available.",6
Python for Kids,Python for Kids,Jason R. Briggs,5.0,1,https://covers.openlibrary.org/b/id/9144057-L.jpg,https://openlibrary.org/works/OL17530235W,319,"Python (language programming), Python (Computer program language), Computer programming, Juvenile literature, Computer software","*Python for Kids* brings Python to life and brings you into the world of programming. For kids aged 10+ (and their parents). The code in this book runs on almost anything: Windows, Mac, Linux, even an OLPC laptop or Raspberry Pi!",open_library_api,"Python (language programming), Python (Computer program language), Computer programming, Juvenile literature, Computer software Python (language programming), Python (Computer program language), Computer programming, Juvenile literature, Computer software *Python for Kids* brings Python to life and brings you into the world of programming. For kids aged 10+ (and their parents). The code in this book runs on almost anything: Windows, Mac, Linux, even an OLPC laptop or Raspberry Pi!",1
Python for Everyone,Python for Everyone,Cay S. Horstmann,5.0,1,https://covers.openlibrary.org/b/id/8509385-L.jpg,https://openlibrary.org/works/OL19543188W,752,"Python (Computer program language), Python (computer program language), Python",No description available.,open_library_api,"Python (Computer program language), Python (computer program language), Python Python (Computer program language), Python (computer program language), Python No description available.",5
Starting Out with Python (4th Edition),Starting Out with Python (4th Edition),Tony Gaddis,5.0,1,https://covers.openlibrary.org/b/id/8508653-L.jpg,https://openlibrary.org/works/OL19542630W,744,"Python (computer program language), Python (Computer program language)",No description available.,open_library_api,"Python (computer program language), Python (Computer program language) Python (computer program language), Python (Computer program language) No description available.",5
Fundamentals of Programming using Java,Fundamentals of Programming using Java,Edward Currie,5.0,1,https://covers.openlibrary.org/b/id/2031875-L.jpg,https://openlibrary.org/works/OL9029736W,264,"Java (computer program language), Computer programming, Java (Computer program language), Computer software, Development",No description available.,open_library_api,"Java (computer program language), Computer programming, Java (Computer program language), Computer software, Development Java (computer program language), Computer programming, Java (Computer program language), Computer software, Development No description available.",1
Java Black Book,Java Black Book,Steven Holzner,5.0,1,https://covers.openlibrary.org/b/id/958580-L.jpg,https://openlibrary.org/works/OL15035953W,1196,"Java (Computer program language), Java 2",No description available.,open_library_api,"Java (Computer program language), Java 2 Java (Computer program language), Java 2 No description available.",6
Programming in JAVA,Programming in JAVA,Sachin Malhotra,5.0,1,https://covers.openlibrary.org/b/id/12697255-L.jpg,https://openlibrary.org/works/OL21234461W,668,"Java (computer program language), Java (Computer program language)",No description available.,open_library_api,"Java (computer program language), Java (Computer program language) Java (computer program language), Java (Computer program language) No description available.",5
Introduction to Python Programming,Introduction to Python Programming,Gowrishankar S,5.0,1,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL25217001W,444,"Python (computer program language), Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages",No description available.,open_library_api,"Python (computer program language), Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages Python (computer program language), Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages No description available.",1
Javanese culture,Javanese culture,Koentjaraningrat,5.0,1,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL338831W,550,"Civilization, Java (indonesia)",No description available.,open_library_api,"Civilization, Java (indonesia) Civilization, Java (indonesia) No description available.",5
How Tomcat Works,How Tomcat Works,"Kurniawan, Budi.",5.0,2,https://covers.openlibrary.org/b/id/1717260-L.jpg,https://openlibrary.org/works/OL9405773M,464,"Java & variants, Programming Languages - Java, Computers, Computers - Languages / Programming, Computer Books: Languages",No description available.,open_library_api,"Java & variants, Programming Languages - Java, Computers, Computers - Languages / Programming, Computer Books: Languages Java & variants, Programming Languages - Java, Computers, Computers - Languages / Programming, Computer Books: Languages No description available.",8
Django for Professionals,Django for Professionals,William S. Vincent,5.0,1,https://covers.openlibrary.org/b/id/9395215-L.jpg,https://openlibrary.org/works/OL20714695W,370,Python web development,Very helping,open_library_api,Python web development Python web development Very helping,8
Python for dummies,Python for dummies,Stef Maruch,5.0,1,https://covers.openlibrary.org/b/id/8712020-L.jpg,https://openlibrary.org/works/OL8232424W,432,"Python (Computer program language), Python (computer program language)",No description available.,open_library_api,"Python (Computer program language), Python (computer program language) Python (Computer program language), Python (computer program language) No description available.",1
Fundamentals of Web Development,Fundamentals of Web Development,Randy Connolly,5.0,1,https://covers.openlibrary.org/b/id/9423191-L.jpg,https://openlibrary.org/works/OL20732060W,1240,Web site development,No description available.,open_library_api,Web site development Web site development No description available.,6
