title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,page_count,genres,description,source
Learn Python The Hard Way A Very Simple Introduction To The Terrifyingly Beautiful World Of Computers And Code,Learn Python The Hard Way A Very Simple Introduction To The Terrifyingly Beautiful World Of Computers And Code,Zed Shaw,5.0,1,https://covers.openlibrary.org/b/id/7514688-L.jpg,https://openlibrary.org/works/OL17405916W,320,"Python (Computer program language), Problems, exercises, Computer programming",No description available.,open_library_api
Programming in JAVA,Programming in JAVA,Sachin Malhotra,5.0,1,https://covers.openlibrary.org/b/id/12697255-L.jpg,https://openlibrary.org/works/OL21234461W,668,"Java (computer program language), Java (Computer program language)",No description available.,open_library_api
Python Programming Patterns,Python Programming Patterns,Thomas W. Christopher,5.0,1,https://covers.openlibrary.org/b/id/82943-L.jpg,https://openlibrary.org/works/OL7945591W,400,"Python (computer program language), Python (Computer program language)",No description available.,open_library_api
Learning JavaScript Design Pattern,Learning JavaScript Design Pattern,Addy Osmani,5.0,1,https://covers.openlibrary.org/b/id/7262420-L.jpg,https://openlibrary.org/works/OL16807226W,270,"Reusability, JavaScript (Computer program language), Software patterns, Scripting languages (Computer science), Computer software",No description available.,open_library_api
Big Java,Big Java,Cay S. Horstmann,5.0,1,https://covers.openlibrary.org/b/id/1239523-L.jpg,https://openlibrary.org/works/OL449055W,1232,"Java (Computer program language), Java (Langage de programmation), Java (programmeertaal), Java (computer program language)",No description available.,open_library_api
Door duisternis tot licht,Door duisternis tot licht,Kartini Raden Adjeng,5.0,1,https://covers.openlibrary.org/b/id/1554059-L.jpg,https://openlibrary.org/works/OL1628788W,310,"Correspondence, Feminists, Social conditions, Women, Women, indonesia, java","Collection of letters of Kartini, a pioneer of women's rights for native Indonesians.",open_library_api
Fundamentals of Programming using Java,Fundamentals of Programming using Java,Edward Currie,5.0,1,https://covers.openlibrary.org/b/id/2031875-L.jpg,https://openlibrary.org/works/OL9029736W,264,"Java (computer program language), Computer programming, Java (Computer program language), Computer software, Development",No description available.,open_library_api
Java Black Book,Java Black Book,Steven Holzner,5.0,1,https://covers.openlibrary.org/b/id/958580-L.jpg,https://openlibrary.org/works/OL15035953W,1196,"Java (Computer program language), Java 2",No description available.,open_library_api
Javanese culture,Javanese culture,Koentjaraningrat,5.0,1,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL338831W,550,"Civilization, Java (indonesia)",No description available.,open_library_api
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,5.0,1,https://covers.openlibrary.org/b/id/8509535-L.jpg,https://openlibrary.org/works/OL19543288W,574,"Artificial intelligence, Machine learning, Python (Computer program language), Apprentissage automatique, Python (Langage de programmation)","xx, 543 pages : 24 cm",open_library_api
How Tomcat Works,How Tomcat Works,"Kurniawan, Budi.",5.0,2,https://covers.openlibrary.org/b/id/1717260-L.jpg,https://openlibrary.org/works/OL9405773M,464,"Java & variants, Programming Languages - Java, Computers, Computers - Languages / Programming, Computer Books: Languages",No description available.,open_library_api
Fundamentals of Web Development,Fundamentals of Web Development,Randy Connolly,5.0,1,https://covers.openlibrary.org/b/id/9423191-L.jpg,https://openlibrary.org/works/OL20732060W,1240,Web site development,No description available.,open_library_api
The content strategy toolkit,The content strategy toolkit,Meghan Casey,5.0,1,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL20045684W,288,"Web site development, Web sites, Management, Design, Content analysis (Communication)","""In this essential guide, Meghan Casey outlines a step-by-step approach for doing content strategy, from planning and creating your content to delivering and managing it. Armed with this book, you can confidently tackle difficult activities like telling your boss or client what's wrong with their content, getting the budget to do content work, and aligning stakeholders on a common vision. Reading The Content Strategy Toolkit is like having your own personal consulting firm on retainer with a complete array of tools and tips for every challenge you'll face. In this practical and relevant guide, you'll learn how to: Identify problems with your content and persuade your bosses it's worth the time and resources to do it right. Make sense of your business environment and understand your audience. Get stakeholders aligned on business goals and user needs. Set your content strategy and decide how to measure success. Create, maintain, and govern on-strategy content. You'll learn to control your content-and not have it control you""--Amazon.com.",open_library_api
Introduction to the design & analysis of algorithms,Introduction to the design & analysis of algorithms,Anany Levitin,5.0,1,https://covers.openlibrary.org/b/id/136142-L.jpg,https://openlibrary.org/works/OL5840892W,528,"Algorithms, Computer algorithms",my son college sybualls has to verfiy and read and write exam,open_library_api
Create an Uber Clone in 7 Days,Create an Uber Clone in 7 Days,Shai Almog,5.0,8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532609473i/40951868._SY75_.jpg,https://www.goodreads.com/book/show/40951868-create-an-uber-clone-in-7-days,438,General,No description available.,goodreads_scraped
প্রোগ্রামিং কনটেস্ট,প্রোগ্রামিং কনটেস্ট,মোঃ মাহবুবুল হাসান,5.0,2,https://covers.openlibrary.org/b/id/7912050-L.jpg,https://openlibrary.org/works/OL17639679W,276,"programming, algorithm, data stucture",বাংলা ভাষায় ডেটা স্ট্রাকচার ও অ্যালগরিদমের ওপর প্রথম বই।,open_library_api
Foundations of Python network programming,Foundations of Python network programming,John Goerzen,5.0,1,https://covers.openlibrary.org/b/id/861348-L.jpg,https://openlibrary.org/works/OL512984W,388,"Python (Computer program language), Scripting languages (Computer science)",No description available.,open_library_api
Free Pascal,Free Pascal,Michaël van Canneyt,5.0,1,https://covers.openlibrary.org/b/id/7248465-L.jpg,https://openlibrary.org/works/OL16799438W,762,"Software development, Pascal (programming language), Object Pascal, Free Pascal, Cross-platform development",No description available.,open_library_api
Data science from scratch,Data science from scratch,Joel Grus,5.0,1,https://covers.openlibrary.org/b/id/12672936-L.jpg,https://openlibrary.org/works/OL20006690W,330,"Python (Computer program language), Data structures (Computer science), Database management, Mathematics, Data mining",No description available.,open_library_api
Starting Out with Python (4th Edition),Starting Out with Python (4th Edition),Tony Gaddis,5.0,1,https://covers.openlibrary.org/b/id/8508653-L.jpg,https://openlibrary.org/works/OL19542630W,744,"Python (computer program language), Python (Computer program language)",No description available.,open_library_api
JavaScript for Kids,JavaScript for Kids,Nick Morgan,5.0,1,https://covers.openlibrary.org/b/id/8513514-L.jpg,https://openlibrary.org/works/OL19547340W,336,"Javascript (Computer program language), Computer programming, Computer programming, juvenile literature, Juvenile literature",No description available.,open_library_api
Python for dummies,Python for dummies,Stef Maruch,5.0,1,https://covers.openlibrary.org/b/id/8712020-L.jpg,https://openlibrary.org/works/OL8232424W,432,"Python (Computer program language), Python (computer program language)",No description available.,open_library_api
Django for Professionals,Django for Professionals,William S. Vincent,5.0,1,https://covers.openlibrary.org/b/id/9395215-L.jpg,https://openlibrary.org/works/OL20714695W,370,Python web development,Very helping,open_library_api
Game Programming With Python (Game Development Series),Game Programming With Python (Game Development Series),Sean Riley,5.0,1,https://covers.openlibrary.org/b/id/848279-L.jpg,https://openlibrary.org/works/OL8947739W,488,"Computer games, Programming, Python (Computer program language)",No description available.,open_library_api
Introduction to Python Programming,Introduction to Python Programming,Gowrishankar S,5.0,1,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL25217001W,444,"Python (computer program language), Python (Computer program language), Python (Langage de programmation), COMPUTERS, Programming Languages",No description available.,open_library_api
Designing Data-Intensive Applications,Designing Data-Intensive Applications,Martin Kleppmann,5.0,3,https://covers.openlibrary.org/b/id/8434671-L.jpg,https://openlibrary.org/works/OL19293745W,618,"Development, Web site development, Application software, Database management, Databases","Data is at the center of many challenges in system design today. Difficult issues need to be figured out, such as scalability, consistency, reliability, efficiency, and maintainability. In addition, we have an overwhelming variety of tools, including relational databases, NoSQL datastores, stream or batch processors, and message brokers. What are the right choices for your application? How do you make sense of all these buzzwords?

In this practical and comprehensive guide, author Martin Kleppmann helps you navigate this diverse landscape by examining the pros and cons of various technologies for processing and storing data. Software keeps changing, but the fundamental principles remain the same. With this book, software engineers and architects will learn how to apply those ideas in practice, and how to make full use of data in modern applications.

Peer under the hood of the systems you already use, and learn how to use and operate them more effectively. Make informed decisions by identifying the strengths and weaknesses of different tools. Navigate the trade-offs around consistency, scalability, fault tolerance, and complexity. Understand the distributed systems research upon which modern databases are built. Peek behind the scenes of major online services, and learn from their architectures",open_library_api
Python for Everyone,Python for Everyone,Cay S. Horstmann,5.0,1,https://covers.openlibrary.org/b/id/8509385-L.jpg,https://openlibrary.org/works/OL19543188W,752,"Python (Computer program language), Python (computer program language), Python",No description available.,open_library_api
Pythons' Autobiography by the Pythons,Pythons' Autobiography by the Pythons,Monty Python,5.0,1,https://covers.openlibrary.org/b/id/499218-L.jpg,https://openlibrary.org/works/OL14947004W,364,"Monty python (comedy troupe), Comedians, biography, Comedians, Biography, Television comedies","""From its humble beginnings as late night entertainment on a British TV channel that went off the air before midnight, it blossomed into arguably the most influential movement in modern comedy. They found the Holy Grail, they detailed the life of the Savior-also-ran Brian, and when they were lost, they explained the Meaning of Life. The Pythons by the Pythons is a unique look at arguably the most important comic team of the modern age, lavishly illustrated with 1000 photographs and illustrations, many culled from the teams' own personal collections, many seen here for the first time.""--BOOK JACKET.",open_library_api
Python for Kids,Python for Kids,Jason R. Briggs,5.0,1,https://covers.openlibrary.org/b/id/9144057-L.jpg,https://openlibrary.org/works/OL17530235W,319,"Python (language programming), Python (Computer program language), Computer programming, Juvenile literature, Computer software","*Python for Kids* brings Python to life and brings you into the world of programming. For kids aged 10+ (and their parents). The code in this book runs on almost anything: Windows, Mac, Linux, even an OLPC laptop or Raspberry Pi!",open_library_api
Web Hacking Arsenal: A Practical Guide to Modern Web Pentesting,Web Hacking Arsenal: A Practical Guide to Modern Web Pentesting,Rafay  Baloch,4.96,51,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1718876552i/208444434._SY75_.jpg,https://www.goodreads.com/book/show/208444434-web-hacking-arsenal,410,Mathematics,No description available.,goodreads_scraped
Verdi,Verdi,Janell Cannon,4.88,8,https://covers.openlibrary.org/b/id/14424577-L.jpg,https://openlibrary.org/works/OL86708W,48,"Fiction, Old age, Pythons, Snakes, Juvenile fiction","Deep in the jungle where all the pythons are green, Verdi is born a little bit different. This gorgeously illustrated picture book from the creator of Stellaluna sends a timely message to young readers about the importance of loving the skin you're in.

Young Verdi doesn’t want to grow up big and green. He likes his bright yellow skin and sporty stripes. Besides, all the green snakes he meets are lazy, boring, and rude. When Verdi finds a pale green stripe stretching along his whole body, he tries every trick he can think of to get rid of it—and ends up in a heap of trouble. Despite his efforts, Verdi turns green, but to his delight, he discovers that being green doesn’t mean he has to stop being himself.",open_library_api
Paulie Zahn: Not Human. Not Vampire. Something the Hidden World Has Never Seen.,"Paulie Zahn: Not Human. Not Vampire. Something the Hidden World Has Never Seen. (Newmark Series, Book 1) (The Newmark Series)",Ed Sorensen,4.81,36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1773701324i/249784854._SY75_.jpg,https://www.goodreads.com/book/show/249784854-paulie-zahn,410,General,No description available.,goodreads_scraped
Domain Modeling Made Functional,Domain Modeling Made Functional,Scott Wlaschin,4.8,5,https://covers.openlibrary.org/b/id/8508987-L.jpg,https://openlibrary.org/works/OL19542938W,312,"Software engineering, Programming languages (electronic computers)",No description available.,open_library_api
Game Programming Patterns,Game Programming Patterns,Robert Nystrom,4.8,5,https://covers.openlibrary.org/b/id/8566115-L.jpg,https://openlibrary.org/works/OL19650342W,327,"Computer games, Programming, Computer science","From the author: ""Game Programming Patterns is a collection of patterns I found in games that make code cleaner, easier to understand, and faster.""",open_library_api
The First Child: The first vampire rule she broke was the one that said she'd die.,"The First Child: The first vampire rule she broke was the one that said she'd die. (Newmark Series, Book 2) (The Newmark Series)",Ed Sorensen,4.75,12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1774053285i/250055631._SY75_.jpg,https://www.goodreads.com/book/show/250055631-the-first-child,410,General,No description available.,goodreads_scraped
"The Art of Computer Programming, Volumes 1-4A Boxed Set","The Art of Computer Programming, Volumes 1-4A Boxed Set",Donald Ervin Knuth,4.75,237,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347464918i/9410434._SX50_.jpg,https://www.goodreads.com/book/show/9410434-the-art-of-computer-programming-volumes-1-4a-boxed-set,410,General,No description available.,goodreads_scraped
Smalltalk-80: The Language and its Implementation,Smalltalk-80: The Language and its Implementation,Adele Goldberg,4.73,48,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387734312i/1831735._SX50_.jpg,https://www.goodreads.com/book/show/1831735.Smalltalk_80,551,"Smalltalk-80 (Computer program language), Smalltalk (computer program language)",No description available.,goodreads_scraped
Operating Systems: Three Easy Pieces,Operating Systems: Three Easy Pieces,Remzi H. Arpaci-Dusseau,4.7,868,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360887934i/17374825._SY75_.jpg,https://www.goodreads.com/book/show/17374825-operating-systems,714,Mathematics,No description available.,goodreads_scraped
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems","Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,4.69,10936,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501626846i/23466395._SX50_.jpg,https://www.goodreads.com/book/show/23466395-designing-data-intensive-applications,618,"Development, Web site development, Application software, Database management, Databases","Data is at the center of many challenges in system design today. Difficult issues need to be figured out, such as scalability, consistency, reliability, efficiency, and maintainability. In addition, we have an overwhelming variety of tools, including relational databases, NoSQL datastores, stream or batch processors, and message brokers. What are the right choices for your application? How do you make sense of all these buzzwords?

In this practical and comprehensive guide, author Martin Kleppmann helps you navigate this diverse landscape by examining the pros and cons of various technologies for processing and storing data. Software keeps changing, but the fundamental principles remain the same. With this book, software engineers and architects will learn how to apply those ideas in practice, and how to make full use of data in modern applications.

Peer under the hood of the systems you already use, and learn how to use and operate them more effectively. Make informed decisions by identifying the strengths and weaknesses of different tools. Navigate the trade-offs around consistency, scalability, fault tolerance, and complexity. Understand the distributed systems research upon which modern databases are built. Peek behind the scenes of major online services, and learn from their architectures",goodreads_scraped
The Rust Programming Language,The Rust Programming Language,Steve Klabnik,4.67,3,https://covers.openlibrary.org/b/id/8508621-L.jpg,https://openlibrary.org/works/OL19080231W,560,"Rust (Computer programming language), Computer programming, Programming languages (electronic computers)",No description available.,open_library_api
This & object prototypes,This & object prototypes,"Simpson, Kyle (JavaScript systems architect)",4.67,3,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL20034683W,158,"JavaScript (Computer program language), Javascript (computer program language), Object-oriented programming (Computer science), Engineering Prototypes",No description available.,open_library_api
